id,text,entities
12706,"Harry started. He looked around. Then he looked on his other side. There was an Albus Dumbledore sitting on his right, watching Crouch's son being dragged away by the dementors - and there was an Albus Dumbledore on his left, looking right at him.",[]
14692,"If anything could have set the seal on Gryffindor’s victory, it was this. Ron, who had fought his way through to Harry’s side, doubled up with laughter as they watched Malfoy fighting to extricate himself from the robe, Goyle’s head still stuck inside it.",[]
12241,"Now what? Harry thought desperately. If he could be sure that Fleur was coming.…But still no sign. There was nothing to be done except… He snatched up the stone, which Krum had dropped, but the mermen now closed in around Ron and the little girl, shaking their heads at him. Harry pulled out his wand.",[]
5242,"'Because the Ministry of Magic's still after me, and Voldemort will know all about me being an Animagus by now, Wormtail will have told him, so my big disguise is useless. There's not much I can do for the Order of the Phoenix… or so Dumbledore feels.'",[]
10947,"“I asked McGonagall how the champions are chosen but she wasn't telling,” said George bitterly. “She just told me to shut up and get on with transfiguring my raccoon.” “Wonder what the tasks are going to be?” said Ron thoughtfully. “You know, I bet we could do them, Harry. We've done dangerous stuff before.…”",[]
1395,"“‘Slug Club,’”repeated Ron with a sneer worthy of Malfoy. “It’s pathetic. Well, I hope you enjoy your party. Why don’t you try hooking up with McLaggen, then Slughorn can make you King and Queen Slug —” “We’re allowed to bring guests,” said Hermione, who for some reason had turned a bright, boiling scarlet, “and I was going to ask you to come, but if you think it’s that stupid then I won’t bother!”",[]
2403,"“No,” said Harry confidently. “I’m going to Hagrid’s, I’ve got a good feeling about going to Hagrid’s.” “You’ve got a good feeling about burying a giant spider?” asked Ron, looking stunned. “Yeah,” said Harry, pulling his Invisibility Cloak out of his bag. “I feel like it’s the place to be tonight, you know what I mean?”",[]
6188,"'Come in here, Potter.' He followed her inside her study. The door closed automatically behind him. 'Well?' said Professor McGonagall, rounding on him. 'Is this true?' 'Is what true?' Harry asked, rather more aggressively than he had intended. 'Professor?' he added, in an attempt to sound more polite.",[]
2093,"Ginny and Demelza scored a goal apiece, giving the redandgoldclad supporters below something to cheer about. Then Cadwallader scored again, making things level, but Luna did not seem to have noticed; she appeared singularly uninterested in such mundane things as the score, and kept attempting to draw the crowd’s attention to such things as interestingly shaped clouds and the possibility that Zacharias Smith, who had so far failed to maintain possession of the Quaffle for longer than a minute, was suffering from something called “Loser’s Lurgy.”",[]
16370,"“This is the most complicated potion I’ve ever seen,” said Hermione as they scanned the recipe. “Lacewing flies, leeches, fluxweed, and knotgrass,” she murmured, running her finger down the list of ingredients. “Well, they’re easy enough, they’re in the student store-cupboard, we can help ourselves…Oooh, look, powdered horn of a bicorn — don’t know where we’re going to get that — shredded skin of a boomslang —. that’ll be tricky, too and of course a bit of whoever we want to change into.”",[]
13617,"Price on request … Harry didn’t like to think how much gold the Firebolt would cost. He had never wanted anything so much in his whole life – but he had never lost a Quidditch match on his Nimbus Two Thousand, and what was the point in emptying his Gringotts vault for the Firebolt, when he had a very good broom already? Harry didn’t ask for the price, but he returned, almost every day after that, just to look at the Firebolt.",[]
907,"Harry saw Malfoy lean close to Nott and whisper something; both of them sniggered, but Slughorn showed no dismay; on the contrary, he beamed and looked from Hermione to Harry, who was sitting next to her. “Oho! ‘One of my best friends is Muggleborn, and she’s the best in our year!’ I’m assuming this is the very friend of whom you spoke, Harry?”",[]
96,"“The Dark Lord is… I believe… mistaken,” Bella panted, and her eyes gleamed momentarily under her hood as she looked around to check that they were indeed alone. “In any case, we were told not to speak of the plan to anyone. This is a betrayal of the Dark Lord’s–“",[]
4798,'Put - it - away!' Uncle Vernon snarled into Harry's ear. 'Now.' Before - anyone - sees!',[]
8974,"They're not normal dreams!' Harry shouted in her face, standing up and taking a step closer to her in turn. He wanted to shake her. 'How d'you explain Ron's dad then, what was all that about, how come I knew what had happened to him?'",[]
9274,"'Go on, then,' said Harry, raising his own wand to chest height. As he did so, the five wands of Ron, Hermione, Neville, Ginny and Luna rose on either side of him. The knot in Harry's stomach tightened. If Sirius really was not here, he had led his friends to their deaths for no reason at all…",[]
11851,"Hermione looked as though Ron had slapped her. When she spoke, her voice quivered. “For your information, he hasn't asked me one single thing about Harry, not one -” Ron changed tack at the speed of light. “Then he's hoping you'll help him find out what his egg means! I suppose you've been putting your heads together during those cozy little library sessions -”",[]
663,"“Does anyone really know what YouKnowWho would or wouldn’t do?” asked Harry angrily. “Mr. Weasley, I’m sorry, but isn’t it worth investigating? If Malfoy wants something fixing, and he needs to threaten Borgin to get it done, it’s probably something Dark or dangerous, isn’t it?”",[]
11559,"But Harry didn't care, he wouldn't have cared if Karkaroff had given him zero; Ron's indignation on his behalf was worth about a hundred points to him. He didn't tell Ron this, of course, but his heart felt lighter than air as he turned to leave the enclosure. And it wasn't just Ron…those weren't only Gryffindors cheering in the crowd. When it had come to it, when they had seen what he was facing, most of the school had been on his side as well as Cedric's.…He didn't care about the Slytherins, he could stand whatever they threw at him now.",[]
12683,"Harry couldn't believe his ears. Ludo Bagman, a Death Eater? “Only,” said Bagman, smiling awkwardly, “well - I know I've been a bit of an idiot -” One or two wizards and witches in the surrounding seats smiled indulgently. Mr. Crouch did not appear to share their feelings. He was staring down at Ludo Bagman with an expression of the utmost severity and dislike.",[]
17236,"“What’s that?” spat Mr. Malfoy. “What did you say?” “Got a sock,” said Dobby in disbelief. “Master threw it, and Dobby caught it, and Dobby — Dobby is free.” Lucius Malfoy stood frozen, staring at the elf Then he lunged at Harry.",[]
16955,"“Exams?” howled Seamus Finnigan. “We’re still getting exams?” There was a loud bang behind Harry as Neville Longbottom’s wand slipped, vanishing one of the legs on his desk.Professor McGonagall restored it with a wave of her own wand, and turned, frowning, to Seamus.",[]
7301,"'No,' said Hermione miserably. 'He says he wants them to be a surprise. I tried to explain about Umbridge, but he just doesn't get it. He kept saying nobody in their right mind would rather study Knarls than Chimaeras - oh, I don't think he's got a Chimaera,' she added at the appalled look on Harry and Ron's faces, 'but that's not for lack of trying, from what he said about how hard it is to get eggs. I don't know how many times I told him he'd be better off following Grubbly-Plank's plan, I honestly don't think he listened to half of what I said. He's in a bit of a funny mood, you know. He still won't say how he got all those injuries.'",[]
16653,"“What’s up with you, Crabbe?” snapped Malfoy. “Stomachache,” Ron grunted.",[]
10964,"The Heads of Houses were ordering their students into lines. “Weasley, straighten your hat,” Professor McGonagall snapped at Ron. “Miss Patil, take that ridiculous thing out of your hair.” Parvati scowled and removed a large ornamental butterfly from the end of her plait.",[]
7533,"Fred, George and Ron stepped after them. Harry glanced around at the jostling crowd; not one of them seemed to have a glance to spare for window displays as ugly as those of Purge & Dowse Ltd; nor did any of them seem to have noticed that six people had just melted into thin air in front of them.",[]
3671,"Harry woke at five o’clock the next morning and was too excited and nervous to go back to sleep. He got up and pulled on his jeans because he didn’t want to walk into the station in his wizard’s robes — he’d change on the train. He checked his Hogwarts list yet again to make sure he had everything he needed, saw that Hedwig was shut safely in her cage, and then paced the room, waiting for the Dursleys to get up. Two hours later, Harry’s huge, heavy trunk had been loaded into the Dursleys’ car, Aunt Petunia had talked Dudley into sitting next to Harry, and they had set off.",[]
11541,"“Yeh did it, Harry!” said Hagrid hoarsely. “Yeh did it! An' agains' the Horntail an' all, an' yeh know Charlie said that was the wors' -” “Thanks, Hagrid,” said Harry loudly, so that Hagrid wouldn't blunder on and reveal that he had shown Harry the dragons beforehand.",[]
5389,"'It doesn't matter,' Hermione whispered, 'he's not in his right mind, he doesn't know what he's -' 'Don't kid yourself, Hermione, he knows exactly what he's saying,' said Fred, eyeing Kreacher with great dislike. Kreacher was still muttering, his eyes on Harry.",[]
2307,"Harry slipped on his Invisibility Cloak once he had found an empty passage, but he need not have bothered. When he reached his destination he found it deserted. Harry was not sure whether his chances of getting inside the room were better with Malfoy inside it or out, but at least his first attempt was not going to be complicated by the presence of Crabbe or Goyle pretending to be an elevenyearold girl.",[]
10591,"“Yeah, thanks for everything, Mrs. Weasley,” said Harry. “Oh it was my pleasure, dears,” said Mrs. Weasley. “I'd invite you for Christmas, but…well, I expect you're all going to want to stay at Hogwarts, what with…one thing and another.” “Mum!” said Ron irritably. “What d'you three know that we don't?”",[]
9990,"But Dudley didn't seem able to speak. Hands still clamped over his buttocks, he waddled as fast as he could into the kitchen. Harry hurried into the living room. Loud bangings and scrapings were coming from behind the Dursleys' boarded-up fireplace, which had a fake coal fire plugged in front of it.",[]
5346,"Hedwig and Pigwidgeon hooted dolefully. The floorboard creaked again and they heard her heading upstairs to check on Fred and George. 'She doesn't trust us at all, you know,' said Ron regretfully.",[]
16702,"“That’s a brilliant theory, Hermione,” said Ron, “with just one tiny little flaw. There’s nothing written in his diary.” But Hermione was pulling her wand out of her bag. “It might be invisible ink!” she whispered. She tapped the diary three times and said, “Aparecium!”",[]
13818,"‘They are stationed at every entrance to the grounds,’ Dumbledore continued, ‘and while they are with us, I must make it plain that nobody is to leave school without permission. Dementors are not to be fooled by tricks or disguises – or even Invisibility Cloaks,’ he added blandly, and Harry and Ron glanced at each other. ‘It is not in the nature of a Dementor to understand pleading or excuses. I therefore warn each and every one of you to give them no reason to harm you. I look to the Prefects, and our new Head Boy and Girl, to make sure that no student runs foul of the Dementors.’",[]
8627,"'We won't be seeing you,' Fred told Professor Umbridge, swinging his leg over his broomstick. 'Yeah, don't bother to keep in touch,' said George, mounting his own. Fred looked around at the assembled students, at the silent, watchful crowd. 'If anyone fancies buying a Portable Swamp, as demonstrated upstairs, come to number ninety-three, Diagon Alley - Weasleys' Wizarding Wheezes,' he said in a loud voice. 'Our new premises!'",[]
9984,"Aunt Petunia was compulsively straightening cushions. Uncle Vernon was pretending to read the paper, but his tiny eyes were not moving, and Harry was sure he was really listening with all his might for the sound of an approaching car. Dudley was crammed into an armchair, his porky hands beneath him, clamped firmly around his bottom. Harry couldn't take the tension; he left the room and went and sat on the stairs in the hall, his eyes on his watch and his heart pumping fast from excitement and nerves.",[]
6468,"'Nearly done?' 'No,' said Ron shortly. 'Jupiter's biggest moon is Ganymede, not Callisto,' she said, pointing over Ron's shoulder at a line in his Astronomy essay, 'and it's lo that's got the volcanoes.' Thanks,' snarled Ron, scratching out the offending sentences.",[]
16542,"“He always seems so nice, though,” said Hannah uncertainly, “and, well, he’s the one who made You-Know-Who disappear. He can’t be all bad, can he?” Ernie lowered his voice mysteriously, the Hufflepuffs bent closer, and Harry edged nearer so that he could catch Ernie’s words.",[]
7900,"It was true that Harry was the subject of much renewed muttering and pointing in the corridors these days, yet he thought he detected a slight difference in the tone of the whisperers' voices. They sounded curious rather than hostile now, and once or twice he was sure he overheard snatches of conversation that suggested that the speakers were not satisfied with the Prophets version of how and why ten Death Eaters had managed to break out of the Azkaban fortress. In their confusion and fear, these doubters now seemed to be turning to the only other explanation available to them: the one that Harry and Dumbledore had been expounding since the previous year.",[]
14448,"Ron knocked, but there was no answer. ‘He’s not out, is he?’ said Hermione, who was shivering under her cloak. Ron had his ear to the door. ‘There’s a weird noise,’ he said. ‘Listen – is that Fang?’ Harry and Hermione put their ears to the door, too. From inside the cabin came a series of low, throbbing moans.",[]
15801,"“What’s the good of that if I’m not on the House team?” said Malfoy, looking sulky and bad-tempered. “Harry Potter got a Nimbus Two Thousand last year. Special permission from Dumbledore so he could play for Gryffindor. He’s not even that good, it’s just because he’s famous…famous for having a stupid scar on his forehead.…”",[]
8022,"Cho Chang walked into the Hall with her friend Marietta. Harry's stomach gave an unpleasant lurch, but she did not look over at the Gryffindor table, and sat down with her back to him. 'Oh, I forgot to ask you,' said Hermione brightly, glancing over at the Ravenclaw table, 'what happened on your date with Cho? How come you were back so early?'",[]
11450,"“Hi,” said Cedric, picking up a copy of A Guide to Advanced Transfiguration that was now splattered with ink. “My bag just split…brand-new and all…” “Cedric,” said Harry, “the first task is dragons.” “What?” said Cedric, looking up. “Dragons,” said Harry, speaking quickly, in case Professor Flitwick came out to see where Cedric had got to. “They've got four, one for each of us, and we've got to get past them.”",[]
